"competência";"seção";"graudeinstrução";"idade";"horascontratuais";"raçacor";"sexo";"tipodedeficiência";"salário";"tamestabjan";"primeiroemprego"
"202001";"J";"80";23;40;"1";"3";"0";2800;"10";TRUE
"202001";"K";"9";25;44;"3";"1";"0";9000;"10";FALSE
"202001";"J";"9";36;40;"3";"1";"0";3272,32006835938;"10";FALSE
"202001";"N";"7";41;44;"1";"1";"0";3500;"6";FALSE
"202001";"J";"80";34;40;"1";"1";"0";8300;"10";FALSE
"202001";"N";"7";29;40;"1";"1";"0";1920;"8";FALSE
"202001";"K";"80";51;40;"4";"1";"0";8700;"7";FALSE
"202001";"G";"9";41;44;"1";"1";"0";2773;"5";FALSE
"202001";"K";"9";41;44;"1";"1";"0";9000;"7";FALSE
"202001";"K";"9";36;40;"1";"1";"0";11440;"7";FALSE
"202001";"M";"7";27;44;"1";"1";"0";8045,93994140625;"7";FALSE
"202001";"K";"8";25;44;"1";"1";"0";5200;"10";FALSE
"202001";"N";"9";28;40;"1";"1";"0";5500;"7";FALSE
"202001";"S";"9";31;40;"1";"1";"4";5059;"8";FALSE
"202001";"J";"9";23;40;"1";"1";"0";2500;"5";FALSE
"202001";"J";"9";48;40;"1";"1";"0";4000;"8";FALSE
"202001";"J";"9";36;40;"6";"1";"0";5153;"6";FALSE
"202001";"J";"8";23;40;"3";"3";"0";3500;"10";FALSE
"202001";"J";"9";22;44;"3";"1";"1";2000;"6";FALSE
"202001";"M";"8";23;40;"3";"3";"0";4000;"7";FALSE
"202001";"K";"9";27;44;"1";"3";"0";7013,08984375;"10";TRUE
"202001";"J";"9";59;40;"1";"1";"0";7321,43017578125;"7";FALSE
"202001";"J";"9";28;40;"1";"1";"0";2600;"6";FALSE
"202001";"J";"80";43;40;"3";"1";"0";8000;"7";FALSE
"202001";"K";"9";36;44;"1";"1";"0";10917;"10";FALSE
"202001";"K";"9";21;44;"1";"1";"0";4720;"10";TRUE
"202001";"J";"8";30;44;"1";"1";"0";1700;"6";FALSE
"202001";"M";"8";29;40;"6";"1";"0";5000;"7";FALSE
"202001";"J";"9";36;40;"3";"1";"0";10768,080078125;"7";FALSE
"202001";"J";"9";20;40;"3";"1";"0";8200;"9";FALSE
"202001";"J";"9";21;40;"3";"1";"0";1675,56994628906;"5";FALSE
"202001";"G";"9";32;44;"1";"1";"0";8000;"7";FALSE
"202001";"J";"9";25;40;"1";"3";"0";2180;"6";FALSE
"202001";"K";"9";25;40;"3";"3";"0";7600;"10";FALSE
"202001";"J";"80";27;40;"3";"1";"0";8500;"5";FALSE
"202001";"J";"8";23;40;"3";"3";"0";2370,07006835938;"6";TRUE
"202001";"G";"9";45;44;"1";"3";"0";2500;"5";FALSE
"202001";"N";"9";43;40;"1";"3";"0";4012,6201171875;"5";FALSE
"202001";"J";"8";39;44;"3";"1";"0";13250;"5";FALSE
"202001";"J";"80";60;40;"3";"1";"0";2500;"8";FALSE
"202001";"M";"9";26;40;"1";"1";"0";8500;"6";FALSE
"202001";"M";"9";27;40;"6";"1";"0";4500;"7";FALSE
"202001";"J";"8";24;40;"2";"1";"0";6300;"6";FALSE
"202001";"C";"9";24;44;"1";"3";"0";8300;"7";FALSE
"202001";"J";"9";24;40;"3";"1";"0";4000;"8";FALSE
"202001";"N";"9";48;40;"1";"1";"0";4500;"6";FALSE
"202001";"J";"9";41;44;"3";"1";"0";1620;"6";FALSE
"202001";"J";"9";31;40;"1";"1";"0";3000;"10";FALSE
"202001";"Q";"9";44;44;"1";"1";"0";13500;"9";FALSE
"202001";"J";"80";57;40;"3";"1";"0";7594,93017578125;"10";FALSE
"202001";"N";"7";24;44;"1";"3";"0";2300;"5";FALSE
"202001";"J";"8";24;40;"3";"1";"0";9000;"10";FALSE
"202001";"J";"7";30;40;"3";"1";"0";3426,92993164062;"9";FALSE
"202001";"P";"9";37;40;"3";"1";"0";10746;"9";TRUE
"202001";"J";"9";32;44;"1";"1";"0";7500;"6";FALSE
"202001";"M";"9";27;40;"1";"3";"0";7200;"10";FALSE
"202001";"J";"9";25;44;"1";"3";"0";2300;"5";FALSE
"202001";"N";"9";33;40;"1";"1";"0";9684;"8";FALSE
"202001";"N";"80";47;44;"1";"1";"0";3528,55004882812;"7";FALSE
"202001";"K";"9";30;44;"1";"1";"0";5715,81005859375;"10";TRUE
"202001";"J";"7";23;40;"4";"3";"0";2800;"8";FALSE
"202001";"N";"9";29;44;"1";"1";"0";7500;"6";FALSE
"202001";"J";"9";29;40;"3";"1";"0";7500;"10";FALSE
"202001";"J";"9";39;40;"1";"1";"0";12000;"8";FALSE
"202001";"J";"9";34;40;"1";"1";"0";16200;"8";FALSE
"202001";"K";"8";27;44;"1";"1";"0";5000;"10";FALSE
"202001";"K";"9";34;30;"1";"1";"0";7000;"8";FALSE
"202001";"J";"9";30;40;"1";"1";"0";10500;"9";FALSE
"202001";"J";"9";24;40;"6";"1";"0";4000;"5";FALSE
"202001";"J";"9";26;40;"1";"1";"0";8000;"8";FALSE
"202001";"J";"9";37;40;"1";"1";"0";8000;"5";FALSE
"202001";"J";"9";23;40;"3";"1";"0";5821,009765625;"6";FALSE
"202001";"K";"9";21;44;"1";"1";"0";5715,81005859375;"10";TRUE
"202001";"M";"7";44;44;"1";"3";"0";5576,85986328125;"10";FALSE
"202001";"G";"9";27;44;"1";"3";"0";2773;"5";FALSE
"202001";"J";"9";34;40;"3";"1";"0";5000;"10";FALSE
"202001";"K";"9";28;40;"3";"1";"0";6000;"5";FALSE
"202001";"J";"8";23;40;"1";"1";"0";5097,77001953125;"7";TRUE
"202001";"J";"9";38;40;"3";"1";"0";12200;"7";FALSE
"202001";"N";"9";34;40;"1";"1";"0";3612,89990234375;"10";FALSE
"202001";"J";"9";28;40;"1";"1";"0";5103,5;"8";FALSE
"202001";"J";"9";33;40;"3";"3";"0";8000;"8";FALSE
"202001";"J";"9";23;44;"1";"1";"0";2400;"5";FALSE
"202001";"J";"9";26;40;"6";"3";"0";7500;"6";FALSE
"202001";"J";"9";29;40;"6";"1";"0";2640;"6";FALSE
"202001";"J";"9";32;40;"2";"3";"0";3349,72998046875;"6";FALSE
"202001";"N";"9";26;36;"1";"3";"0";2401,76000976562;"10";FALSE
"202001";"J";"80";30;40;"1";"1";"0";10800;"9";FALSE
"202001";"J";"8";31;40;"1";"3";"0";9000;"5";FALSE
"202001";"J";"9";38;40;"1";"1";"0";8000;"6";FALSE
"202001";"J";"9";24;40;"1";"1";"0";4000;"6";FALSE
"202001";"M";"9";28;40;"1";"3";"0";8000;"6";FALSE
"202001";"J";"7";23;40;"1";"3";"0";2322,56005859375;"5";FALSE
"202001";"J";"9";30;40;"1";"1";"0";12317;"7";FALSE
"202001";"J";"80";33;40;"2";"1";"0";9106,4697265625;"9";FALSE
"202001";"M";"9";22;44;"1";"1";"0";3500;"6";FALSE
"202001";"J";"9";29;40;"1";"1";"0";3500;"7";FALSE
"202001";"M";"8";25;30;"2";"1";"0";3000;"10";FALSE
"202001";"J";"7";17;44;"6";"1";"0";1457,66003417969;"5";FALSE
"202001";"N";"9";31;40;"2";"1";"0";7612,91015625;"10";FALSE
"202001";"J";"7";41;48;"1";"1";"0";7520;"5";FALSE
"202001";"M";"10";28;44;"1";"3";"0";7500;"10";FALSE
"202001";"M";"9";27;40;"1";"1";"0";13500;"10";FALSE
"202001";"P";"8";28;44;"1";"1";"0";1600;"5";FALSE
"202001";"J";"9";24;40;"1";"1";"0";8255,669921875;"6";FALSE
"202001";"J";"7";40;40;"3";"3";"0";1224;"8";FALSE
"202001";"J";"7";37;40;"6";"1";"0";2900;"8";FALSE
"202001";"J";"9";34;44;"1";"1";"0";8000;"6";FALSE
"202001";"J";"6";33;40;"1";"1";"0";10500;"9";FALSE
"202001";"J";"9";27;40;"6";"3";"0";8107;"7";FALSE
"202001";"J";"8";42;40;"1";"1";"0";8151;"7";FALSE
"202001";"N";"9";46;44;"6";"1";"0";1650;"10";FALSE
"202001";"J";"8";22;44;"1";"3";"0";2000;"6";FALSE
"202001";"C";"9";26;40;"1";"3";"0";9500;"9";FALSE
"202001";"J";"80";40;40;"1";"1";"0";7000;"10";FALSE
"202001";"J";"8";27;40;"4";"1";"0";2000;"6";FALSE
"202001";"J";"7";29;40;"1";"1";"0";13000;"9";FALSE
"202001";"N";"7";19;44;"1";"3";"0";2903,22998046875;"9";FALSE
"202001";"K";"9";30;44;"2";"3";"0";4720;"10";FALSE
"202001";"J";"9";55;40;"1";"1";"0";7000;"10";FALSE
"202001";"J";"9";28;40;"1";"1";"0";5800;"6";FALSE
"202001";"Q";"9";24;44;"1";"1";"0";6405,7099609375;"10";FALSE
"202001";"J";"9";44;40;"1";"1";"0";15000;"10";FALSE
"202001";"G";"9";37;44;"1";"3";"0";8000;"10";FALSE
"202001";"J";"9";47;40;"1";"1";"0";9500;"10";FALSE
"202001";"J";"9";23;40;"1";"1";"0";17000;"5";TRUE
"202001";"S";"9";31;40;"3";"1";"0";7000;"8";FALSE
"202001";"G";"9";44;44;"3";"1";"0";9033;"10";FALSE
"202001";"J";"9";32;40;"3";"3";"0";6000;"9";FALSE
"202001";"K";"80";33;44;"1";"3";"0";8000;"10";FALSE
"202001";"Q";"80";30;44;"1";"1";"0";4736;"10";FALSE
"202001";"J";"9";29;40;"6";"1";"0";11020,650390625;"7";FALSE
"202001";"J";"9";29;40;"1";"3";"0";6850;"10";FALSE
