"competência";"seção";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"tempoemprego";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz"
"202001";"B";1;"212405";"101";"7";28;44;12;"1";"1";"0";"1";"20";"0";"0";"0";3468,39990234375;"3";"0"
"202001";"J";1;"212405";"101";"80";23;40;12;"1";"3";"0";"1";"10";"0";"0";"0";2800;"10";"0"
"202001";"M";1;"212405";"101";"7";44;40;11;"3";"1";"0";"1";"20";"0";"0";"0";9000;"4";"0"
"202001";"M";1;"317110";"101";"9";33;40;11;"6";"1";"0";"1";"20";"0";"0";"0";12347,0703125;"4";"0"
"202001";"K";1;"212405";"101";"9";25;44;11;"3";"1";"0";"1";"20";"0";"0";"0";9000;"10";"0"
"202001";"J";1;"212405";"101";"9";36;40;11;"3";"1";"0";"1";"20";"0";"0";"0";3272,32006835938;"10";"0"
"202001";"J";1;"212405";"999";"9";33;33;0;"1";"1";"0";"1";"20";"0";"0";"0";2043,43005371094;"6";"0"
"202001";"N";1;"212405";"101";"7";41;44;11;"1";"1";"0";"1";"20";"0";"0";"0";3500;"6";"0"
"202001";"J";1;"212405";"101";"80";34;40;11;"1";"1";"0";"1";"20";"0";"0";"0";8300;"10";"0"
"202001";"J";1;"317110";"101";"80";41;40;11;"6";"3";"0";"1";"20";"0";"0";"0";1840,38000488281;"6";"0"
"202001";"G";1;"317110";"101";"7";28;40;11;"1";"1";"0";"1";"20";"0";"0";"0";650;"4";"0"
"202001";"J";1;"317110";"101";"9";45;40;11;"3";"3";"0";"1";"20";"0";"0";"0";7031,669921875;"9";"0"
"202001";"N";1;"212405";"101";"7";29;40;11;"1";"1";"0";"1";"20";"0";"0";"0";1920;"8";"0"
"202001";"N";1;"317110";"101";"9";33;40;11;"1";"1";"0";"1";"20";"0";"0";"0";10000;"7";"0"
"202001";"K";1;"212405";"101";"80";51;40;11;"4";"1";"0";"1";"20";"0";"0";"0";8700;"7";"0"
"202001";"G";1;"212405";"101";"9";41;44;11;"1";"1";"0";"1";"20";"0";"0";"0";2773;"5";"0"
"202001";"J";1;"317110";"101";"9";21;40;11;"3";"1";"0";"1";"20";"0";"0";"0";1600;"7";"0"
"202001";"J";1;"317110";"101";"9";25;40;12;"3";"3";"0";"1";"20";"0";"0";"0";3120,25;"6";"0"
"202001";"K";1;"212405";"101";"9";41;44;11;"1";"1";"0";"1";"20";"0";"0";"0";9000;"7";"0"
"202001";"J";1;"212405";"999";"9";41;40;0;"1";"1";"0";"1";"20";"0";"0";"0";2500;"3";"0"
