"competência";"seção";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"tempoemprego";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz"
"202001";"J";-1;"212405";"101";"8";22;44;7;"1";"3";"0";"1";"40";"0";"0";"0";1350;"5";"0"
"202001";"J";-1;"212405";"101";"9";26;40;0;"3";"1";"0";"1";"40";"0";"0";"0";10000;"10";"0"
"202001";"J";-1;"212405";"101";"8";47;40;0;"4";"3";"0";"1";"40";"0";"0";"0";15800;"10";"0"
"202001";"R";-1;"212405";"101";"80";28;44;45;"1";"3";"0";"1";"40";"0";"0";"0";8018;"10";"0"
"202001";"N";-1;"212405";"101";"9";28;44;30;"3";"3";"0";"1";"31";"0";"0";"1";3254,080078125;"9";"0"
"202001";"J";-1;"212405";"101";"9";36;40;5;"1";"1";"0";"1";"40";"0";"0";"0";1675,56005859375;"6";"0"
"202001";"C";-1;"317110";"101";"8";22;44;1;"6";"1";"0";"1";"31";"0";"0";"0";3000;"7";"0"
"202001";"J";-1;"212405";"101";"9";28;40;29;"1";"1";"0";"1";"32";"0";"0";"0";2854;"4";"0"
"202001";"M";-1;"212405";"101";"9";42;44;24;"1";"1";"0";"1";"40";"0";"0";"0";25692,69921875;"9";"0"
"202001";"K";-1;"212405";"101";"9";30;44;14;"1";"1";"0";"1";"40";"0";"0";"0";9775,73046875;"10";"0"
"202001";"J";-1;"212405";"101";"8";22;40;5;"1";"3";"0";"1";"40";"0";"0";"0";4500;"7";"0"
"202001";"J";-1;"212405";"101";"9";30;40;7;"6";"1";"0";"1";"40";"0";"0";"0";2200;"4";"0"
"202001";"M";-1;"212405";"101";"80";33;42;4;"1";"1";"0";"1";"40";"0";"0";"0";6500;"3";"0"
"202001";"N";-1;"212405";"101";"9";27;44;7;"1";"1";"0";"1";"40";"0";"0";"0";1947,68994140625;"8";"0"
"202001";"J";-1;"212405";"101";"80";26;44;4;"1";"1";"0";"1";"40";"0";"0";"0";5100;"7";"0"
"202001";"S";-1;"212405";"101";"7";42;40;123;"3";"1";"0";"1";"31";"0";"0";"0";3768;"3";"0"
"202001";"N";-1;"317110";"106";"8";26;40;3;"1";"1";"0";"1";"43";"0";"0";"0";5500;"9";"0"
"202001";"N";-1;"212405";"101";"9";31;44;141;"1";"1";"0";"1";"90";"0";"0";"0";4365,60009765625;"10";"0"
"202001";"J";-1;"212405";"101";"80";33;40;46;"1";"3";"0";"1";"40";"0";"0";"0";9999,259765625;"7";"0"
"202001";"J";-1;"317110";"101";"9";27;40;21;"1";"1";"0";"1";"40";"0";"0";"0";4373,58984375;"9";"0"
"202001";"J";-1;"212405";"101";"7";22;44;16;"6";"1";"0";"1";"40";"0";"0";"0";2068,60009765625;"5";"0"
"202001";"M";-1;"212405";"101";"9";30;44;23;"6";"3";"0";"1";"40";"0";"0";"0";5608;"10";"0"
"202001";"J";-1;"212405";"101";"9";31;40;11;"6";"1";"0";"1";"40";"0";"0";"0";5500;"6";"0"
"202001";"J";-1;"317110";"101";"9";20;40;11;"1";"1";"0";"1";"40";"0";"0";"0";2500;"5";"0"
"202001";"J";-1;"212405";"999";"9";27;40;16;"1";"1";"0";"1";"40";"0";"0";"0";2017,15002441406;"3";"0"
"202001";"J";-1;"212405";"999";"9";28;33;4;"1";"1";"0";"1";"40";"0";"0";"0";1975,66003417969;"6";"0"
"202001";"J";-1;"212405";"101";"9";26;40;30;"6";"1";"0";"1";"40";"0";"0";"0";8008,35009765625;"3";"0"
"202001";"J";-1;"212405";"101";"7";38;40;13;"1";"1";"0";"1";"40";"0";"0";"0";3400;"2";"0"
"202001";"J";-1;"212405";"101";"8";28;40;5;"1";"1";"0";"1";"31";"0";"0";"0";7000;"5";"0"
"202001";"J";-1;"212405";"101";"9";31;40;21;"3";"1";"0";"1";"31";"0";"0";"0";5000;"9";"0"
"202001";"G";-1;"212405";"101";"9";22;44;1;"2";"1";"0";"1";"31";"0";"0";"0";1490,11999511719;"5";"0"
"202001";"M";-1;"212405";"101";"9";30;40;9;"3";"3";"0";"1";"40";"0";"0";"0";8500;"7";"0"
"202001";"J";-1;"317110";"101";"8";19;40;3;"1";"3";"0";"1";"40";"0";"0";"0";3500;"4";"0"
"202001";"J";-1;"212405";"101";"8";28;40;2;"1";"1";"0";"1";"40";"0";"0";"0";4334,93994140625;"7";"0"
