"competência";"seção";"graudeinstrução";"idade";"horascontratuais";"raçacor";"sexo";"tipodedeficiência";"salário";"tamestabjan";"primeiroemprego"
"202001";"J";"80";41;40;"6";"3";"0";1840,38000488281;"6";FALSE
"202001";"J";"9";45;40;"3";"3";"0";7031,669921875;"9";FALSE
"202001";"N";"9";33;40;"1";"1";"0";10000;"7";FALSE
"202001";"J";"9";21;40;"3";"1";"0";1600;"7";FALSE
"202001";"J";"9";25;40;"3";"3";"0";3120,25;"6";FALSE
"202001";"J";"9";23;40;"6";"1";"0";4500;"5";FALSE
"202001";"J";"9";32;40;"1";"1";"0";8000;"7";FALSE
"202001";"G";"9";23;44;"1";"1";"0";2750;"10";FALSE
"202001";"F";"9";43;44;"3";"1";"0";3750;"6";FALSE
"202001";"M";"9";33;44;"6";"1";"0";10500;"7";FALSE
"202001";"J";"9";25;40;"3";"1";"0";6508,81005859375;"10";FALSE
"202001";"K";"9";46;44;"1";"1";"0";8709,6796875;"5";FALSE
"202001";"J";"8";25;40;"3";"1";"0";3408,9599609375;"7";FALSE
"202001";"J";"9";31;40;"1";"3";"0";12500;"10";FALSE
"202001";"K";"7";32;40;"6";"1";"0";13052;"8";FALSE
"202001";"F";"7";24;44;"1";"1";"0";2860,01000976562;"10";FALSE
"202001";"G";"9";35;44;"1";"1";"0";11418;"10";FALSE
"202001";"L";"9";25;44;"6";"3";"0";4000;"7";FALSE
"202001";"J";"9";20;44;"1";"3";"0";2300;"5";FALSE
"202001";"J";"9";20;40;"6";"1";"0";1800;"6";FALSE
"202001";"M";"9";31;44;"4";"1";"0";7200;"10";FALSE
"202001";"J";"9";25;40;"6";"1";"0";1800;"6";FALSE
"202001";"M";"7";37;40;"6";"3";"0";6000;"5";FALSE
"202001";"J";"9";39;40;"1";"1";"0";9500;"9";FALSE
"202001";"G";"7";21;44;"2";"1";"0";2750;"10";FALSE
"202001";"J";"7";34;40;"3";"3";"0";3293,32006835938;"9";FALSE
"202001";"K";"9";29;40;"6";"1";"0";13000;"8";FALSE
"202001";"J";"9";43;40;"3";"1";"0";11098,5400390625;"10";FALSE
"202001";"J";"9";20;40;"1";"1";"0";3500;"8";FALSE
"202001";"J";"7";32;40;"1";"1";"0";10304,8896484375;"6";FALSE
"202001";"J";"9";33;40;"3";"1";"0";7197,56982421875;"10";FALSE
