"graudeinstrução";"idade";"horascontratuais";"raçacor";"sexo";"tipodedeficiência";"salário";"tamestabjan";"primeiroemprego"
"9";29;44;"1";"1";"3";4377,52001953125;"10";FALSE
"10";39;40;"1";"1";"0";1681;"5";FALSE
"8";57;40;"1";"1";"0";2389,15991210938;"8";FALSE
"11";26;40;"3";"1";"0";5200;"10";FALSE
"9";41;40;"1";"1";"0";25000;"6";FALSE
"9";37;40;"1";"1";"0";25000;"8";FALSE
"8";36;40;"1";"1";"0";22000;"6";FALSE
"11";39;44;"1";"1";"0";6500;"7";FALSE
"6";26;44;"3";"1";"0";1823,47998046875;"7";FALSE
"9";27;36;"1";"1";"6";5038,669921875;"9";FALSE
"8";30;44;"3";"1";"0";14500;"10";TRUE
"9";31;40;"5";"1";"0";8105,1201171875;"7";FALSE
"11";39;40;"6";"3";"0";13000;"5";FALSE
"7";34;40;"3";"1";"0";22000;"8";FALSE
"9";35;44;"1";"1";"3";6017;"9";FALSE
"9";39;40;"1";"1";"0";25437,5;"6";FALSE
"8";34;44;"1";"1";"1";8008;"10";FALSE
"9";54;40;"4";"1";"6";9310;"6";FALSE
"7";26;44;"6";"1";"0";9851,169921875;"7";TRUE
